Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.475221250723019,0.722893329942908,0.655658586788987,-0.925764147933915,-2.04989681419204,-1.44954987126954
01/15/1971,0.512924852261343,0.730057474895056,0.684701269630965,-0.915066433122648,-2.07580821593747,-1.46463786018459
01/22/1971,0.555665254279853,0.756502928430264,0.719029623661053,-0.90666228371825,-2.10005277814008,-1.47807336719086
01/29/1971,0.601117954682374,0.801920522289357,0.758014242259125,-0.902310880512575,-2.12216537056676,-1.48957764566889
02/05/1971,0.648330051235763,0.858666140985812,0.801023278444578,-0.902711573304456,-2.14169644323648,-1.49891071874746
02/12/1971,0.694874364858886,0.912428713348905,0.846407346081704,-0.908847484693835,-2.15822349560798,-1.50588206967965
02/19/1971,0.739180601246487,0.950553100721715,0.893202945088476,-0.921554371646882,-2.17137875137954,-1.51035590509958
02/26/1971,0.780345206425907,0.96696874526742,0.9409911406862,-0.941489117132027,-2.18084042620849,-1.51225128319511
03/05/1971,0.818273728202699,0.963827628552353,0.989848210769221,-0.968986054124957,-2.18637005441094,-1.51154800227276
03/12/1971,0.852892331520681,0.951103864445042,1.03962442441482,-1.00412901275101,-2.18777438623046,-1.50828094575695
03/19/1971,0.885031041225643,0.940394058520221,1.09082022810621,-1.04663214168889,-2.18497904992089,-1.50253826175362
03/26/1971,0.915835789899185,0.945887525494595,1.14391986463197,-1.095861766346,-2.17798709294315,-1.4944585346836
04/02/1971,0.945634365934745,0.977235668198364,1.19852976767018,-1.15085131779097,-2.16690786621926,-1.4842214182937
04/09/1971,0.974774006298374,1.04441182992407,1.25395287826285,-1.21045423643465,-2.15191161523355,-1.47202856360049
04/16/1971,1.00192266945928,1.15282171300542,1.30836677087655,-1.27338876461669,-2.13331618471532,-1.45814054199471
04/23/1971,1.02596575513443,1.29999880202112,1.35894688804515,-1.33756770234247,-2.11145885416904,-1.44279496625373
04/30/1971,1.04388150092704,1.47611949558474,1.40285099877076,-1.40185582261507,-2.08674109226229,-1.42623723729187
05/07/1971,1.05367840383617,1.66346689138644,1.43718144520788,-1.46436413938882,-2.05959589330431,-1.40870779007094
05/14/1971,1.05161596620743,1.82762551354928,1.458028413538,-1.5235794241108,-2.03051353386421,-1.39043432960046
05/21/1971,1.03670446926475,1.93170916014353,1.4640866873539,-1.57796046642011,-1.99994537692244,-1.37162614573433
05/28/1971,1.01008314801367,1.94697648066968,1.45635361804273,-1.62612964690201,-1.968341526512,-1.35247650364905
06/04/1971,0.974776523347659,1.84370717424933,1.43763895763924,-1.66680198307838,-1.93615939699893,-1.33316202467202
06/11/1971,0.933762899310531,1.60624649676071,1.41081225488335,-1.69896974910953,-1.9038128121206,-1.3138431312524
06/18/1971,0.895641148237545,1.25637545744955,1.38404333304563,-1.72156084777801,-1.87171846284351,-1.29466875498724
06/25/1971,0.868363911259931,0.838466633634685,1.36479852853651,-1.73372196823362,-1.84027273871268,-1.27577381700418
07/02/1971,0.859601482643438,0.425111960348202,1.36038470472119,-1.73485587708832,-1.80987108828575,-1.25728077804899
07/09/1971,0.876294594710972,0.110020658818865,1.37722992151658,-1.72456494887228,-1.78085769513232,-1.23929188605724
07/16/1971,0.922552297234478,-0.0168381693939127,1.41952267236578,-1.70291204072871,-1.75360737728167,-1.22191126237154
07/23/1971,0.999193248095113,0.104511147418146,1.48744839414317,-1.67001164417277,-1.72841557583583,-1.20520658699526
07/30/1971,1.1024243957531,0.482130582660504,1.57806974009444,-1.62678296821746,-1.70555029676969,-1.18923450154566
08/06/1971,1.22540139378089,1.05991495771439,1.68471071136895,-1.57411568896073,-1.68524139035851,-1.17403078206561
08/13/1971,1.35763000983874,1.72813677141134,1.7977114452927,-1.51348311064347,-1.66765620879529,-1.15961220499304
08/20/1971,1.48832138847996,2.35302232127174,1.90702238747059,-1.44648689033937,-1.65292206699812,-1.14597718404712
08/27/1971,1.60397940952665,2.8105057000637,2.00044970545316,-1.37524975392973,-1.64113054394316,-1.13310991043398
09/03/1971,1.69752111517345,3.04263604540503,2.07152690773474,-1.30155206039554,-1.63231820234958,-1.12098113274792
09/10/1971,1.76042383445166,3.03683044924917,2.11266833922989,-1.22749227104976,-1.62649311984301,-1.10955175543309
09/17/1971,1.79192669815299,2.84584141059794,2.12369886214136,-1.15494722328738,-1.62363237264947,-1.09877624395842
09/24/1971,1.792627066286,2.54215023679932,2.1056052986784,-1.08565044825144,-1.6236652256153,-1.08860272571506
10/01/1971,1.76697853463483,2.19367106374935,2.0631005109458,-1.02110739409146,-1.6264965348623,-1.07897596984867
10/08/1971,1.72021318838999,1.85821400011458,2.00156374023732,-0.962665966595913,-1.63196729905187,-1.06983795023309
10/15/1971,1.66090941645247,1.57342436733533,1.9299480136656,-0.91155890378557,-1.6398943256702,-1.06112910719235
10/22/1971,1.59609168025268,1.35968886136561,1.85461197984064,-0.868301215636523,-1.6500006224257,-1.05278625547219
10/29/1971,1.5311917757989,1.22729960896853,1.7817481093638,-0.833857474728796,-1.66193743933029,-1.04474629995338
11/05/1971,1.47072988684267,1.17275989483442,1.71555814791798,-0.808409548639409,-1.67528267128615,-1.03694289167511
11/12/1971,1.41601428996766,1.1833102872809,1.65750035934155,-0.792212513767268,-1.68952666054783,-1.02930726051575
11/19/1971,1.36765942953611,1.24614230037568,1.60795169369559,-0.785032518265583,-1.70408214242183,-1.02176798181511
