Time,GaR_h4,GaR_h8
7/1/11,0.911922879,0.106794119
10/1/11,1.111183466,0.71738493
1/1/12,-0.206541534,0.813665159
4/1/12,0.872115558,0.825102603
7/1/12,-0.389302351,1.040695509
10/1/12,0.823760413,1.314077915
1/1/13,0.857038556,1.355246089
4/1/13,1.030964441,1.743794833
7/1/13,0.861063992,1.246305608
10/1/13,0.777197966,1.36890704
1/1/14,1.898748635,1.667539653
4/1/14,1.314423809,1.722317763
7/1/14,1.945284748,1.794126778
10/1/14,2.456612945,1.851356664
1/1/15,0.571153474,2.1308371
4/1/15,1.974298305,1.96679078
7/1/15,2.194100987,2.010836341
10/1/15,1.264573042,2.158637308
1/1/16,1.526308303,1.679698862
4/1/16,1.658852859,1.948365899
7/1/16,1.207012411,1.854775207
10/1/16,0.65154347,1.44558893
1/1/17,0.230711801,1.307929614
4/1/17,0.600263064,1.303400297
7/1/17,1.336411693,1.110519793
10/1/17,0.456113031,0.981457761
1/1/18,-0.000388754,0.818690513
4/1/18,0.812642106,1.00070571
7/1/18,0.708836673,1.191734971
10/1/18,0.495402813,1.010122119
1/1/19,0.501461287,0.958658046
4/1/19,-0.622779408,1.063810172
7/1/19,0.26992991,1.064464537
10/1/19,-0.00965426,0.975602145
1/1/20,0.021050193,1.053237797
4/1/20,0.655582227,0.815686842
7/1/20,,1.027724662
10/1/20,,1.01301506
1/1/21,,1.05158017
4/1/21,,1.193451467
